下本多町6番丁,,,新竪町
下松原町,,,松ケ枝マツガエ
下安原町,,,安原
下涌波町,,,不動寺
昌永町,,,浅野町
正部町,,,三谷
昭和町,1,,芳斉ホウサイ
,2,,芳斉ホウサイ
,3,1〜19,長田町
,,20,芳斉ホウサイ
,,21〜,長田町
,5,1〜 7,長田町
,,8〜21,芳斉ホウサイ
,,22〜49,長田町
,6,1〜19,芳斉ホウサイ
,,20,長田町
,,21〜28,芳斉ホウサイ
,7,,
,〜,,長田町
,10,,
,11,1〜18,長田町
,,19〜24,芳斉ホウサイ
,12,,長田町
,13,1〜2,長田町
,,3〜27,芳斉ホウサイ
,,28〜32,長田町
,,33〜37,芳斉ホウサイ
,,38〜39,長田町
,14,,
,〜,,芳斉ホウサイ
,16,,
,20,,芳斉ホウサイ
,21,1〜 3,長田町
,,4〜17,芳斉ホウサイ
,,18〜24,長田町
,22,,長田町
白菊町,,,中村町
白見町,,,湯涌
新神田1丁目,,,新神田
新神田2丁目,,,新神田
新神田3丁目,,,新神田
新神田4丁目,,,新神田
新神田5丁目,,,新神田
新竪町3丁目,,,新竪町
新保町,,,内川
新保本1丁目,,,西南部
新保本2丁目,,,西南部
新保本3丁目,,,西南部
新保本4丁目,,,西南部
新保本5丁目,,,西南部
進和町,,,米丸
地代町,,,朝日
寺中町,,,木曳野
十間町,,,松ケ枝マツガエ
十一屋町,1,,
,〜,,十一屋
,10,,
,11,1〜 6,泉野
,,7〜20,十一屋
,,21〜33,泉野
,12,1〜 5,泉野
,,6〜26,十一屋
,,27〜33,泉野
,13,,
,〜,,十一屋
,16,,
十三間町,,,新竪町
十三間町中丁,,,新竪町
城南１丁目,1,,
,〜,,菊川町
,23,,
,24,,南小立野
城南２丁目,1,,
,〜,,菊川町
,42,,
,43,,南小立野
,44,,南小立野
城力町,,,駒帰コマガエリ
神宮寺町,,,小坂
神宮寺1丁目,,,森山町
神宮寺2丁目,,,小坂
神宮寺3丁目,,,小坂
末町,,,犀川
末広町,,,材木町
菅池町,,,駒帰コマガエリ
杉浦町,,,新竪町
須崎町,,,浅野川
折違町,,,長田町
鈴見町,,,材木町
鈴見台1丁目,,,材木町
鈴見台2丁目,,,材木町
鈴見台3丁目,,,材木町
鈴見台4丁目,,,材木町
鈴見台5丁目,,,材木町
砂子坂町,,,医王山
住吉町,,,内川
西都セイト１丁目チョウメ,,,戸   板
西都セイト２丁目チョウメ,,,戸   板
千木町,,,千坂
千木1丁目,,,千坂
瀬領町,,,駒帰コマガエリ
専光寺町,,,緑
千田町,,,千坂
千日町,,,中村町
千杉町,,,朝日
田井町,,,味噌蔵町
太陽が丘1丁目,,,東浅川
太陽が丘2丁目,,248〜252,東浅川
,,別記以外,田上
太陽が丘3丁目,,,田上
平町,,,犀川
高池町,,,東浅川
高尾町,,,伏見台
高尾台1丁目,,,伏見台
高尾台2丁目,,,伏見台
高尾台3丁目,,,伏見台
高尾台4丁目,,,扇台
高尾１丁目,,,伏見台
高尾２丁目,,,伏見台
高尾３丁目,,,伏見台
高岡町,1,,
,〜,,松ケ枝マツガエ
,18,,
,19,,長町ナガマチ
,20,,
,〜,,松ケ枝マツガエ
,23,,
高尾南1丁目,,,扇台
高尾南2丁目,,,扇台
高尾南3丁目,,,扇台
高坂町,,,三谷
高畠１丁目,,,米丸
高畠２丁目,,,米丸
高畠３丁目,,,米丸
高柳町,,別記以外,浅野町
,,ソ、12の、13の,小坂
宝町,,別記以外,小立野
,7,17〜33,味噌蔵町
田上町,,,田上
田上１丁目,,,田上
田上２丁目,,,田上
田上新町,,,田上
田上本町,,,田上
滝下町,,,上平ウワダイラ
竹又町,,,竹又タケマタ
忠縄町,,,森本
辰巳町,,,犀川
竪町,,別記以外,新竪町
,,42〜82,長町ナガマチ
舘タチ町マチ,,,南小立野
館山町,,,南小立野
田中町,,,浅野町
田島町,,,医王山
玉井町,,,芳斉ホウサイ
玉川町,1,,長町ナガマチ
,2,,松ケ枝マツガエ
,3,,長町ナガマチ
,4,,長土塀ナガドヘイ
,5,,
,〜,,芳斉ホウサイ
,17,,
玉鉾町,,甲、ニ,米丸
,,《都市計画道,
,,路疋田･御経,
,,塚線以西》,
,,イ,新神田
,,《都市計画道,
,,路疋田･御経,
,,塚線以東ヒガシ》,
玉鉾１丁目,,,新神田
玉鉾２丁目,,,米丸
玉鉾３丁目,,,米丸
玉鉾４丁目,,,米丸
玉鉾５丁目,,,米丸
俵原町,,,朝日
俵町,,,俵
大工町,,,長町ナガマチ
平等本町,,,東浅川
大和町,1,,長土塀ナガドヘイ
,2,,長土塀ナガドヘイ
,3,1〜24,長土塀ナガドヘイ
,,25〜35,長田町
,,36〜40,長土塀ナガドヘイ
,4,,長土塀ナガドヘイ
,5,,長土塀ナガドヘイ
近岡町,,,鞍月
茅原町,,,東浅川
中央通町,1,,
,〜,,長町ナガマチ
,10,,
,11,1〜26,長町ナガマチ
,,27〜39,長土塀ナガドヘイ
,,40〜54,長町ナガマチ
,12,,
,〜,,長町ナガマチ
,15,,
,16,,長土塀ナガドヘイ
,17,1,長町ナガマチ
,,2〜30,長土塀ナガドヘイ
,18,1、 2,長町ナガマチ
